TaxonGrp,Species,Base-substitution Mutation rate,Total Genome size Mb,Protein-coding Genome Size Mb,Organism Mass at Maturity(ug DW),Ne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteria,Ruegeria pomeroyi DSS-3,0.00000000013900,4.60105,4.12742,0.000001110,398570341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unicellular eukaryotes,Saccharomyces cerevisiae,0.00000000021000,12.47550,8.70948,0.000026554,12000117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unicellular eukaryotes,Saccharomycodes ludwigii Y-12793,0.00000000007300,13.68415,6.08256,0.000066856,85579581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Saimiri boliviensis boliviensis,0.00000000689871,2650.94000,35.08783,225000000.00,72202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Salmo salar,0.00000000431016,2756.58000,78.50136,6500000000,111067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteria,Salmonella enterica,0.00000000011400,4.95138,4.28140,0.000000443,119391957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Sarcophilus harrisii,0.00000000594535,3086.67000,35.53328,2400000000.00,25388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Saxicola maurus,0.00000000667656,1020.37000,,4200000.00,236872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oligocellular,Schizophyllum commune (/ mitotic cell div),0.00000000002040,38.67000,20.49907,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unicellular eukaryotes,Schizosaccharomyces pombe ATCC 26189,0.00000000017000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unicellular eukaryotes,Schizosaccharomyces pombe ED668,0.00000000021300,12.59130,7.17840,0.000044374,13700761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
