"ID","sire","dam","Sex","sex_nr","TotalLength","TailDepth","BodyDepth","HeadLength","SwimSpeed"
110,34,118,"M",1,28.3,3.3,7.1,16.7,60.10128634
111,33,115,"M",1,27.7,3.2,7.1,17.1,64.07651615
112,6,62,"M",1,29,3.8,7.3,17.9,72.71666504
113,13,76,"M",1,27,3.3,6.6,15.9,75.40495406
114,18,85,"F",2,32,4.3,10.4,20.3,70.36475898
115,2,54,"F",2,30.6,3.2,10.5,20.2,49.50182151
116,23,96,"F",2,30,3.9,10.3,18.9,53.19454864
117,31,112,"F",2,32.9,4.2,10.7,20.7,47.34319827
118,19,88,"F",2,32.3,3.6,8.4,21.1,64.48666832
119,25,100,"F",2,30.2,3.9,9.9,18.7,57.65682908
120,21,92,"F",2,27.4,3.3,8.1,17,87.84302481
121,5,59,"F",2,24.3,2.8,7.4,15.9,86.35110139
122,24,97,"F",2,31.1,3.6,9.5,19.6,46.61372734
123,18,85,"F",2,36.9,4.8,12.3,24.3,42.99909882
124,30,109,"F",2,36.9,4.6,11.4,24.1,30.1129784
125,7,63,"F",2,21.2,2.3,5.9,12.9,102.4531928
126,31,112,"F",2,30.8,3.2,8.7,18.7,107.183602
127,15,80,"F",2,37.6,4.9,12.4,24,25.42105667
128,28,106,"F",2,27.4,3.1,9.3,16.9,76.05049766
129,20,90,"F",2,33.3,4,9.6,21.6,38.06983292
130,9,67,"F",2,24.2,2.5,6.9,14.5,70.28958137
131,36,121,"M",1,24,2.8,5.8,14.1,87.74451784
132,39,128,"M",1,28.3,3.8,7.4,17.7,76.81674427
133,40,130,"M",1,31.3,3.5,7.6,18.7,75.02473313
134,7,63,"M",1,31.4,4.1,7.7,18.9,88.99743818
135,33,116,"M",1,26.3,3.3,6.6,16.3,85.74794383
136,29,107,"M",1,31.3,3.8,8.4,19.9,64.1477913
137,24,98,"M",1,28,3.2,7.3,17,71.1048283
138,38,125,"M",1,30.3,3.4,7.1,18,64.67373496
139,11,71,"M",1,28.1,3,7.1,17.1,65.71819205
140,24,98,"M",1,29.1,3.4,6.9,17.9,54.78363708
141,40,130,"M",1,28.5,3.2,7.6,17.5,47.09989994
142,21,92,"M",1,28.2,3.7,7.4,17,63.2687763
143,17,83,"M",1,25.7,3.1,6.6,16.9,77.08565842
144,35,120,"M",1,26.9,3.5,6.8,16.4,71.51621121
145,17,83,"M",1,28.1,3.7,7.6,17.2,82.82279945
146,12,73,"M",1,20.9,2.2,5.3,12.4,68.73108996
147,22,94,"M",1,27.7,3.8,7.4,16.6,95.43078539
148,2,53,"M",1,23.8,3.3,6.3,14,81.10179593
149,39,127,"F",2,28.9,3.7,9.3,18.1,89.18033828
150,26,101,"F",2,35.9,4.2,11.7,22.9,53.68875617
151,42,134,"F",2,30.9,3.7,9.3,19,63.58418283
152,15,80,"F",2,39.2,4.3,12.4,24.5,23.4329025
153,23,96,"F",2,36,4.4,10.2,22.4,52.18196438
154,25,99,"F",2,36.6,4.8,10.8,22.7,39.93011788
155,35,120,"F",2,33.7,4.3,10.7,22.3,53.92356434
156,27,103,"F",2,30.2,3.7,8.8,19.4,63.95652686
157,41,132,"F",2,27.4,3.6,8.2,17,89.94254458
158,42,134,"F",2,30.8,4.2,9.6,19.9,88.05506125
159,7,64,"F",2,30,3.6,8.9,18.9,75.00547993
160,37,124,"F",2,29.6,3.7,8.9,18.7,80.67400911
161,28,106,"F",2,22.3,3.2,7.1,13.7,85.27784584
162,28,105,"F",2,27.2,3.7,7.9,17.3,69.34620766
163,6,61,"F",2,26.9,3.2,8.8,17.3,79.7255144
164,16,81,"F",2,25.3,3.2,7.3,16,106.4650226
165,7,63,"F",2,22.2,2.9,6.8,13.8,59.61553233
166,3,56,"F",2,21.2,2.3,6.7,13.5,65.76239015
167,36,122,"F",2,26.9,3.2,8.4,16.2,67.54111249
168,26,102,"F",2,30.3,3.6,8.9,19.6,44.02344297
169,2,53,"F",2,29.3,3.8,9,18.2,52.3757037
170,37,123,"M",1,28.9,3.5,7.1,17.4,82.86939995
171,7,63,"M",1,28.3,3.6,6.8,17.5,72.36111662
172,25,100,"M",1,27.7,3.3,7,16.2,72.3819347
173,40,130,"M",1,30,3.8,7.5,18.4,80.20303479
174,6,61,"M",1,34.7,4.3,9.1,20.9,75.67697931
175,17,84,"M",1,31.1,4.1,8.3,18.7,87.50212964
176,31,111,"M",1,27,3.4,6.9,16.5,78.83195903
177,41,132,"M",1,28.7,4.1,8.2,18.2,94.71976059
178,15,79,"M",1,26.5,3.7,6.7,15.9,93.16783419
179,4,57,"M",1,27.4,3.5,7.4,16.5,89.78225414
180,38,126,"M",1,27,3.2,6.1,15.8,87.78992124
181,30,109,"M",1,33.3,4.3,9.4,20.9,73.92255324
182,34,118,"M",1,28.9,3.4,7.4,17.6,57.76968785
183,13,75,"M",1,27.8,3.1,6.6,16.6,59.63576135
184,24,98,"M",1,28,3.5,7,17.2,48.62170332
186,41,132,"M",1,28.3,3.5,7.8,16.3,74.71506725
187,31,112,"M",1,29.4,3.4,7.6,17.7,80.85486987
188,28,105,"M",1,25.5,3.5,6.7,15.3,92.40425648
189,26,102,"M",1,28,3.7,7.3,17.7,58.86909057
190,3,55,"M",1,26,3.3,6.6,15.1,74.07399349
191,28,105,"F",2,26.2,3.2,8.4,17.3,64.15759783
192,41,131,"F",2,27.1,3.9,8.4,16.9,63.0020687
193,1,52,"F",2,23.4,2.8,7.2,14.9,92.61404506
194,10,69,"F",2,29.5,3.6,9.3,17.8,71.13604162
195,30,110,"F",2,32.3,4,10,20.8,43.07369252
196,19,87,"F",2,30.2,3.8,9.7,18.9,32.72894018
197,38,125,"F",2,28.4,4.2,9.7,18.3,100.2589302
198,24,97,"F",2,27.9,3.8,8.6,17.4,89.06593601
199,36,121,"F",2,37.3,4.4,10.7,23.5,46.85255293
200,34,118,"F",2,30.3,3.6,9.4,19.2,86.02114034
201,32,113,"F",2,27,3.5,9.3,18.2,53.86718621
202,11,72,"F",2,28,3.6,9.1,17.9,71.77683951
203,5,60,"F",2,26.2,3.4,7.9,16.4,78.27651785
204,20,89,"M",1,32.4,3.6,8,19.3,69.12833568
205,7,63,"M",1,30.4,3.5,7.3,18.9,76.33354882
206,34,117,"M",1,30.5,3.5,7.7,18.3,68.43573196
207,4,58,"M",1,25.9,3.3,7.3,16.2,87.04797523
208,6,62,"M",1,27.4,2.8,6.5,16.6,58.39543665
209,11,71,"M",1,28.2,3,6.9,17,57.35820262
210,12,74,"M",1,28.2,3.7,7,17.1,79.20889157
211,35,119,"M",1,28.4,3.4,7.2,18,66.03553293
212,12,73,"M",1,28.8,3,7.1,17.5,49.33143006
213,5,59,"M",1,32.8,3.8,8.4,20.5,64.97459746
214,1,52,"M",1,21,2.4,4.8,12.2,78.46003215
215,29,107,"M",1,31.3,3.4,7.7,18.6,68.88591859
216,10,69,"M",1,25.8,3.2,6.6,16.4,70.0755172
217,17,84,"M",1,26.8,3,6.6,16.1,69.00356815
218,31,111,"M",1,31.9,3.7,7.4,18,74.46477363
219,29,107,"M",1,27.1,3.2,6.5,16.7,68.00491754
220,27,103,"M",1,23.9,2,6,14.4,55.20152239
221,35,120,"M",1,28.7,3.4,7.9,17.3,66.99517508
222,11,72,"M",1,26.5,2.9,6.8,16.3,78.17168481
223,1,51,"M",1,23.5,2.3,5,14,52.51078818
224,3,56,"F",2,20.9,3.7,6.6,13.5,114.3502858
225,2,54,"F",2,35.4,4.5,12.2,23.4,32.97272557
226,28,105,"F",2,33.5,4.4,11.2,21.9,44.66080336
227,37,123,"F",2,31.4,3.7,10.3,19.6,18.94767204
