year,transect_id,site_id,lat,lon,facies,reef_name,plhcoral,family,scientific_name,length_cm,av.weight.g,animal_count
2019,1926,69724,-21.949189,113.941163,Bommie,Mangrove,5,Acanthuridae,Acanthurus dussumieri,30,367.5413411,2
2019,911,66158,-22.22307,113.83653,Reef flat,Osprey,25,Acanthuridae,Acanthurus dussumieri,30,383.603969,-0
2017,2002,69763,-21.99148,113.92268,Reef slope,Mangrove,15,Acanthuridae,Acanthurus dussumieri,30,769.9358206,0
2015,1970,69747,-21.927059,113.921493,Reef slope,Mangrove,6,Acanthuridae,Acanthurus dussumieri,20,5.554278583,40
2018,1978,69751,-22.241802,113.829291,Bommie,Osprey,10,Acanthuridae,Acanthurus dussumieri,20,110.7641886,1
2016,2000,69762,-21.90297,113.93295,Reef slope,Mangrove,20,Acanthuridae,Acanthurus dussumieri,25,473.4027637,3
2017,1940,69732,-21.851654,113.996863,Reef slope,Jurabi,5,Acanthuridae,Acanthurus dussumieri,30,149.3464939,6
2017,1988,69756,-22.210351,113.835806,Reef slope,Osprey,40,Acanthuridae,Acanthurus dussumieri,35,55.82994609,19
2015,1465,69417,-22.009255,113.90068,Reef slope,Mangrove,20,Acanthuridae,Acanthurus dussumieri,20,127.0006753,4
2018,577,46805,-22.23949,113.82363,Reef slope,Osprey,50,Acanthuridae,Acanthurus dussumieri,35,192.2293473,8
2015,1930,69726,-21.96853,113.931722,Lagoon,Mangrove,15,Acanthuridae,Acanthurus dussumieri,50,1501.746085,2
2018,1944,69734,-21.85495,113.984551,Reef slope,Jurabi,40,Acanthuridae,Acanthurus dussumieri,35,304.7278012,3
2015,1924,69723,-21.952067,113.939473,Bommie,Mangrove,20,Acanthuridae,Acanthurus dussumieri,30,694.0626157,1
2019,1479,69426,-21.958761,113.913098,Reef slope,Mangrove,40,Acanthuridae,Acanthurus dussumieri,30,154.1693295,7
2017,2000,69762,-21.90297,113.93295,Reef slope,Mangrove,25,Acanthuridae,Acanthurus dussumieri,35,226.9748272,3
2016,1994,69759,-21.91767,113.92545,Reef slope,Mangrove,20,Acanthuridae,Acanthurus dussumieri,30,20.20595308,40
2018,1479,69426,-21.958761,113.913098,Reef slope,Mangrove,35,Acanthuridae,Acanthurus dussumieri,25,105.2140393,7
2019,1471,69420,-21.996843,113.906339,Reef slope,Mangrove,60,Acanthuridae,Acanthurus dussumieri,25,40.48994461,12
